Insert,,,,,,,search,,,,,
LL A,LL B,BST A,BST B,Hash A,Hash B,,LL A,LL B,BST A,BST B,Hash A,Hash B
1.01E-06,1.01E-06,2.02E-04,3.64E-04,1.55E-06,5.66E-06,,1.29E-02,1.57E-02,6.14E-04,1.87E-03,8.96E-05,0.00015152
1.09E-06,1.06E-06,2.03E-04,3.68E-04,1.57E-06,5.66E-06,,1.30E-02,1.58E-02,6.15E-04,1.88E-03,8.96E-05,0.00015152
1.07E-06,1.06E-06,2.04E-04,3.71E-04,1.57E-06,5.81E-06,,1.31E-02,1.59E-02,6.16E-04,1.88E-03,8.96E-05,0.0001516
1.29E-06,1.22E-06,2.05E-04,3.75E-04,1.59E-06,5.81E-06,,1.32E-02,1.60E-02,6.17E-04,1.88E-03,8.96E-05,0.0001516
1.14E-06,1.01E-06,2.06E-04,3.78E-04,1.59E-06,6.05E-06,,1.33E-02,1.61E-02,6.18E-04,1.88E-03,8.96E-05,0.00015165
1.09E-06,1.06E-06,2.07E-04,3.82E-04,1.59E-06,6.28E-06,,1.33E-02,1.62E-02,6.19E-04,1.88E-03,8.96E-05,0.00015165
1.07E-06,1.10E-06,2.09E-04,3.85E-04,1.61E-06,6.61E-06,,1.34E-02,1.63E-02,6.20E-04,1.88E-03,8.96E-05,0.00015186
1.10E-06,1.06E-06,2.10E-04,3.87E-04,1.61E-06,6.76E-06,,1.35E-02,1.64E-02,6.21E-04,1.88E-03,8.96E-05,0.00015186
1.07E-06,1.06E-06,2.11E-04,3.90E-04,1.63E-06,6.82E-06,,1.36E-02,1.65E-02,6.22E-04,1.89E-03,8.96E-05,0.00015187
1.01E-06,1.02E-06,2.12E-04,3.92E-04,1.63E-06,7.08E-06,,1.37E-02,1.66E-02,6.23E-04,1.89E-03,8.96E-05,0.00015199
1.09E-06,1.06E-06,2.13E-04,3.95E-04,1.63E-06,7.16E-06,,1.38E-02,1.67E-02,6.24E-04,1.89E-03,8.96E-05,0.00015199
1.07E-06,1.06E-06,2.14E-04,3.98E-04,1.65E-06,7.28E-06,,1.38E-02,1.68E-02,6.25E-04,1.89E-03,8.96E-05,0.00015199
1.07E-06,1.06E-06,2.16E-04,4.00E-04,1.65E-06,7.36E-06,,1.39E-02,1.69E-02,6.26E-04,1.89E-03,8.96E-05,0.00015199
1.03E-06,1.01E-06,2.17E-04,4.04E-04,1.67E-06,7.42E-06,,1.40E-02,1.70E-02,6.27E-04,1.89E-03,8.96E-05,0.00015199
1.07E-06,1.06E-06,2.18E-04,4.07E-04,1.67E-06,7.42E-06,,1.41E-02,1.71E-02,6.29E-04,1.89E-03,8.96E-05,0.00015199
1.07E-06,1.06E-06,2.19E-04,4.10E-04,1.67E-06,7.49E-06,,1.42E-02,1.72E-02,6.30E-04,1.89E-03,8.96E-05,0.00015199
1.10E-06,1.06E-06,2.20E-04,4.20E-04,1.69E-06,7.49E-06,,1.43E-02,1.73E-02,6.31E-04,1.90E-03,8.96E-05,0.00015199
1.07E-06,1.08E-06,2.21E-04,4.35E-04,1.69E-06,7.52E-06,,1.43E-02,1.74E-02,6.32E-04,1.90E-03,8.96E-05,0.00015199
1.01E-06,1.01E-06,2.22E-04,4.40E-04,1.69E-06,7.52E-06,,1.44E-02,1.75E-02,6.33E-04,1.90E-03,8.96E-05,0.00015199
1.15E-06,1.06E-06,2.23E-04,4.44E-04,1.71E-06,7.52E-06,,1.45E-02,1.76E-02,6.34E-04,1.90E-03,8.96E-05,0.00015199
1.09E-06,1.06E-06,2.24E-04,4.52E-04,1.71E-06,7.54E-06,,1.46E-02,1.77E-02,6.35E-04,1.90E-03,8.96E-05,0.00015199
1.07E-06,1.30E-06,2.25E-04,4.58E-04,1.73E-06,7.54E-06,,1.47E-02,1.78E-02,6.36E-04,1.90E-03,8.96E-05,0.00015199
1.03E-06,1.35E-06,2.26E-04,4.64E-04,1.73E-06,7.56E-06,,1.48E-02,1.79E-02,6.37E-04,1.91E-03,8.96E-05,0.00015199
1.22E-06,1.09E-06,2.28E-04,4.68E-04,1.73E-06,7.56E-06,,1.48E-02,1.80E-02,6.38E-04,1.91E-03,8.96E-05,0.00015199
1.06E-06,1.07E-06,2.29E-04,4.73E-04,1.75E-06,7.56E-06,,1.49E-02,1.81E-02,6.39E-04,1.91E-03,8.96E-05,0.00015199
1.06E-06,1.06E-06,2.30E-04,4.76E-04,1.75E-06,7.57E-06,,1.50E-02,1.82E-02,6.40E-04,1.91E-03,8.96E-05,0.00015199
1.12E-06,1.06E-06,2.31E-04,4.79E-04,1.76E-06,8.82E-06,,1.51E-02,1.83E-02,6.41E-04,1.91E-03,8.96E-05,0.00015199
1.01E-06,1.01E-06,2.32E-04,4.82E-04,1.76E-06,9.02E-06,,1.52E-02,1.84E-02,6.42E-04,1.91E-03,8.96E-05,0.00015199
1.06E-06,1.10E-06,2.33E-04,4.85E-04,1.76E-06,9.02E-06,,1.53E-02,1.85E-02,6.43E-04,1.91E-03,8.96E-05,0.00015199
