A,linear ,,,,A,quadratic,,,,A,chaining,,,,B,linear ,,,,B,quadratic,,,,B,chaining,,
insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search
4.00E-07,0.0001163,9,6,,6.20E-07,8.96E-05,9,6,,4.90E-07,4.36E-06,8,5,,4.10E-07,0.00013246,18,6,,3.27E-06,0.0001452,19,2,,1.05E-06,4.00E-06,17,0
4.20E-07,0.0001163,7,2,,6.30E-07,8.96E-05,7,2,,5.90E-07,4.36E-06,7,1,,4.20E-07,0.00013246,21,0,,3.29E-06,0.00014522,21,0,,1.05E-06,4.00E-06,20,0
4.20E-07,0.0001163,14,6,,6.30E-07,8.96E-05,14,6,,5.90E-07,4.36E-06,13,6,,4.20E-07,0.00013246,22,19,,3.29E-06,0.00014545,23,9,,1.07E-06,4.00E-06,20,0
4.20E-07,0.0001163,13,3,,6.50E-07,8.96E-05,13,3,,5.90E-07,4.36E-06,12,3,,4.20E-07,0.00013246,26,3,,3.31E-06,0.00014545,24,0,,1.07E-06,4.00E-06,20,0
4.30E-07,0.0001163,9,1,,6.50E-07,8.96E-05,9,1,,6.00E-07,4.36E-06,9,0,,4.40E-07,0.00013246,29,10,,3.31E-06,0.00014545,31,2,,1.07E-06,4.00E-06,28,0
4.30E-07,0.0001163,11,6,,6.50E-07,8.96E-05,11,6,,6.00E-07,4.36E-06,10,6,,4.40E-07,0.00013246,20,6,,3.31E-06,0.00014568,22,4,,1.09E-06,4.00E-06,16,0
4.50E-07,0.0001163,9,8,,6.70E-07,8.96E-05,9,8,,6.10E-07,4.36E-06,9,6,,4.60E-07,0.00013246,20,2,,3.33E-06,0.00014578,21,2,,1.09E-06,4.00E-06,18,0
4.50E-07,0.0001163,10,3,,6.70E-07,8.96E-05,10,3,,6.10E-07,4.36E-06,9,1,,4.60E-07,0.00013246,22,0,,3.33E-06,0.00014578,22,0,,1.11E-06,4.00E-06,20,0
4.50E-07,0.0001163,17,2,,6.90E-07,8.96E-05,17,2,,6.10E-07,4.36E-06,17,2,,4.60E-07,0.00013246,23,1,,3.35E-06,0.00014578,22,0,,1.11E-06,4.00E-06,18,0
4.70E-07,0.0001163,17,6,,9.60E-07,8.96E-05,17,6,,6.30E-07,4.36E-06,17,4,,4.80E-07,0.00013246,33,3,,3.35E-06,0.00014585,32,3,,1.11E-06,4.00E-06,29,0
4.70E-07,0.0001163,13,13,,9.60E-07,8.96E-05,13,13,,6.30E-07,4.36E-06,12,6,,4.80E-07,0.00013246,27,1,,3.35E-06,0.00014591,26,1,,1.13E-06,4.00E-06,26,0
